vertexNum,edgeNum,iterationNum,maxEdgeDegree,minProcessEdge,percentage,sOriginalDistance,sMinEdgetoProcess,sApprAttrValues,sReduceExecution,sPartialGraphProcess,executionTime,Error
16384,261823,6,2421,0,100.000000,1,0,0,0,0,0.000000,4.539168
16384,261823,6,2421,24,100.000000,0,1,0,0,0,5.227760,5.310368
16384,261823,6,2421,48,100.000000,0,1,0,0,0,7.134296,4.740000
16384,261823,6,2421,72,100.000000,0,1,0,0,0,14.613448,4.853344
16384,261823,6,2421,96,100.000000,0,1,0,0,0,14.752938,5.069792
16384,261823,6,2421,120,100.000000,0,1,0,0,0,14.752938,5.683264
16384,261823,6,2421,144,100.000000,0,1,0,0,0,15.867460,5.270112
16384,261823,6,2421,168,100.000000,0,1,0,0,0,28.158913,6.925568
16384,261823,6,2421,192,100.000000,0,1,0,0,0,32.922005,3.848064
16384,261823,6,2421,216,100.000000,0,1,0,0,0,32.975311,10.192000
16384,261823,6,2421,0,100.000000,0,0,1,0,0,36.289207,4.572224
16384,261823,6,2421,0,100.000000,0,0,0,1,0,0.000000,4.501696
16384,261823,5,2421,0,100.000000,0,0,0,1,0,0.000000,4.357504
16384,261823,4,2421,0,100.000000,0,0,0,1,0,0.000678,5.919328
16384,261823,3,2421,0,100.000000,0,0,0,1,0,0.022238,9.115744
16384,261823,2,2421,0,100.000000,0,0,0,1,0,1.191709,4.213440
16384,261823,1,2421,0,100.000000,0,0,0,1,0,30.728615,2.999936
16384,261823,0,2421,0,100.000000,0,0,0,1,0,67.134987,1.919296
16384,261823,6,2421,0,0.900000,0,0,0,0,1,30.560493,3.765152
16384,261823,6,2421,0,0.800000,0,0,0,0,1,18.730965,4.627296
16384,261823,6,2421,0,0.700000,0,0,0,0,1,19.943016,4.215456
16384,261823,6,2421,0,0.600000,0,0,0,0,1,17.446712,4.739488
16384,261823,6,2421,0,100.000000,1,0,0,0,0,0.000000,4.549856
16384,261823,6,2421,24,100.000000,0,1,0,0,0,5.227760,4.267520
16384,261823,6,2421,48,100.000000,0,1,0,0,0,7.134296,4.190720
16384,261823,6,2421,72,100.000000,0,1,0,0,0,14.613448,3.958848
16384,261823,6,2421,96,100.000000,0,1,0,0,0,14.752938,3.898592
16384,261823,6,2421,120,100.000000,0,1,0,0,0,14.752938,8.145344
16384,261823,6,2421,144,100.000000,0,1,0,0,0,15.867460,3.941120
16384,261823,6,2421,168,100.000000,0,1,0,0,0,28.158913,3.890400
16384,261823,6,2421,192,100.000000,0,1,0,0,0,32.922005,5.651584
16384,261823,6,2421,216,100.000000,0,1,0,0,0,32.975311,3.837216
16384,261823,6,2421,0,100.000000,0,0,1,0,0,36.289207,4.562336
16384,261823,6,2421,0,100.000000,0,0,0,1,0,0.000000,4.564192
16384,261823,5,2421,0,100.000000,0,0,0,1,0,0.000000,4.373024
16384,261823,4,2421,0,100.000000,0,0,0,1,0,0.000678,4.571200
16384,261823,3,2421,0,100.000000,0,0,0,1,0,0.022238,4.319136
16384,261823,2,2421,0,100.000000,0,0,0,1,0,1.192140,4.392704
16384,261823,1,2421,0,100.000000,0,0,0,1,0,30.728615,3.014464
16384,261823,0,2421,0,100.000000,0,0,0,1,0,67.134987,6.695008
16384,261823,6,2421,0,0.900000,0,0,0,0,1,30.728615,3.369216
16384,261823,6,2421,0,0.800000,0,0,0,0,1,18.251062,4.643616
16384,261823,6,2421,0,0.700000,0,0,0,0,1,15.117609,4.362368
16384,261823,6,2421,0,0.600000,0,0,0,0,1,16.541050,6.065856
32768,523862,5,3877,0,100.000000,1,0,0,0,0,0.000000,12.344768
32768,523862,5,3877,38,100.000000,0,1,0,0,0,6.978334,7.707008
32768,523862,5,3877,76,100.000000,0,1,0,0,0,9.602575,7.627456
32768,523862,5,3877,114,100.000000,0,1,0,0,0,17.342693,7.434464
32768,523862,5,3877,152,100.000000,0,1,0,0,0,17.342693,14.459872
32768,523862,5,3877,190,100.000000,0,1,0,0,0,17.342693,7.188192
32768,523862,5,3877,228,100.000000,0,1,0,0,0,20.517982,14.568000
32768,523862,5,3877,266,100.000000,0,1,0,0,0,34.868050,8.553280
32768,523862,5,3877,304,100.000000,0,1,0,0,0,36.061718,13.206592
32768,523862,5,3877,342,100.000000,0,1,0,0,0,36.061718,8.453536
32768,523862,5,3877,0,100.000000,0,0,1,0,0,38.976158,8.544032
32768,523862,5,3877,0,100.000000,0,0,0,1,0,0.000000,11.512096
32768,523862,4,3877,0,100.000000,0,0,0,1,0,0.000000,9.277344
32768,523862,3,3877,0,100.000000,0,0,0,1,0,0.012304,10.430976
32768,523862,2,3877,0,100.000000,0,0,0,1,0,0.808490,9.731072
32768,523862,1,3877,0,100.000000,0,0,0,1,0,33.107208,5.706976
32768,523862,0,3877,0,100.000000,0,0,0,1,0,64.662048,3.643648
32768,523862,5,3877,0,0.900000,0,0,0,0,1,33.054646,6.290912
32768,523862,5,3877,0,0.800000,0,0,0,0,1,22.138494,8.020480
32768,523862,5,3877,0,0.700000,0,0,0,0,1,19.984980,7.815488
32768,523862,5,3877,0,0.600000,0,0,0,0,1,22.582781,14.360768
65536,1048065,5,6260,0,100.000000,1,0,0,0,0,0.000000,17.325697
65536,1048065,5,6260,62,100.000000,0,1,0,0,0,8.707548,15.308640
65536,1048065,5,6260,124,100.000000,0,1,0,0,0,13.760643,23.317217
65536,1048065,5,6260,186,100.000000,0,1,0,0,0,19.797716,18.330944
65536,1048065,5,6260,248,100.000000,0,1,0,0,0,19.797716,22.631617
65536,1048065,5,6260,310,100.000000,0,1,0,0,0,19.797716,14.686368
65536,1048065,5,6260,372,100.000000,0,1,0,0,0,27.822060,15.686400
65536,1048065,5,6260,434,100.000000,0,1,0,0,0,38.142868,13.477600
65536,1048065,5,6260,496,100.000000,0,1,0,0,0,38.142868,12.803712
65536,1048065,5,6260,558,100.000000,0,1,0,0,0,38.142868,16.642401
65536,1048065,5,6260,0,100.000000,0,0,1,0,0,41.450939,17.556959
65536,1048065,5,6260,0,100.000000,0,0,0,1,0,0.000000,17.336992
65536,1048065,4,6260,0,100.000000,0,0,0,1,0,0.000000,29.213951
65536,1048065,3,6260,0,100.000000,0,0,0,1,0,0.010036,31.756096
65536,1048065,2,6260,0,100.000000,0,0,0,1,0,0.567661,18.287968
65536,1048065,1,6260,0,100.000000,0,0,0,1,0,32.274277,16.895296
65536,1048065,0,6260,0,100.000000,0,0,0,1,0,62.119057,6.880000
65536,1048065,5,6260,0,0.900000,0,0,0,0,1,32.270809,12.807712
65536,1048065,5,6260,0,0.800000,0,0,0,0,1,24.600973,18.259745
65536,1048065,5,6260,0,0.700000,0,0,0,0,1,22.547779,21.684641
65536,1048065,5,6260,0,0.600000,0,0,0,0,1,32.263096,13.479808
65536,1048065,5,6260,0,0.500000,0,0,0,0,1,21.433792,19.875488
65536,1048065,5,6260,0,0.400000,0,0,0,0,1,22.422354,23.209152
65536,1048065,5,6260,0,0.300000,0,0,0,0,1,32.226494,15.659712
65536,1048065,5,6260,0,0.200000,0,0,0,0,1,32.258690,12.906048
65536,1048065,5,6260,0,0.100000,0,0,0,0,1,23.669552,19.465919
131072,2096525,6,10035,0,100.000000,1,0,0,0,0,0.000000,34.431519
131072,2096525,6,10035,20,100.000000,0,1,0,0,0,2.704743,31.695456
131072,2096525,6,10035,40,100.000000,0,1,0,0,0,4.119925,42.880993
131072,2096525,6,10035,60,100.000000,0,1,0,0,0,6.610755,33.435905
131072,2096525,6,10035,80,100.000000,0,1,0,0,0,10.408295,36.536575
131072,2096525,6,10035,100,100.000000,0,1,0,0,0,10.492841,39.911392
131072,2096525,6,10035,120,100.000000,0,1,0,0,0,10.492841,37.660736
131072,2096525,6,10035,140,100.000000,0,1,0,0,0,10.493095,42.578430
131072,2096525,6,10035,160,100.000000,0,1,0,0,0,10.597296,34.948257
131072,2096525,6,10035,180,100.000000,0,1,0,0,0,12.992374,36.031361
131072,2096525,6,10035,0,100.000000,0,0,1,0,0,43.723621,35.396832
131072,2096525,6,10035,0,100.000000,0,0,0,1,0,0.000000,34.592354
131072,2096525,5,10035,0,100.000000,0,0,0,1,0,0.000000,44.890465
131072,2096525,4,10035,0,100.000000,0,0,0,1,0,0.000045,50.741951
131072,2096525,3,10035,0,100.000000,0,0,0,1,0,0.003664,50.612961
131072,2096525,2,10035,0,100.000000,0,0,0,1,0,0.209559,39.998402
131072,2096525,1,10035,0,100.000000,0,0,0,1,0,20.403131,33.521378
131072,2096525,0,10035,0,100.000000,0,0,0,1,0,59.868122,13.680672
131072,2096525,6,10035,0,0.900000,0,0,0,0,1,20.545504,27.438112
131072,2096525,6,10035,0,0.800000,0,0,0,0,1,20.546228,35.069408
131072,2096525,6,10035,0,0.700000,0,0,0,0,1,16.023727,40.320671
131072,2096525,6,10035,0,0.600000,0,0,0,0,1,20.476294,33.304382
131072,2096525,6,10035,0,0.500000,0,0,0,0,1,20.545738,30.438656
131072,2096525,6,10035,0,0.400000,0,0,0,0,1,20.545204,32.886433
131072,2096525,6,10035,0,0.300000,0,0,0,0,1,20.502373,33.258305
131072,2096525,6,10035,0,0.200000,0,0,0,0,1,20.544046,36.694496
131072,2096525,6,10035,0,0.100000,0,0,0,0,1,20.498966,30.636160
262144,4193560,6,15974,0,100.000000,1,0,0,0,0,0.000000,97.695358
262144,4193560,6,15974,30,100.000000,0,1,0,0,0,3.555379,73.665955
262144,4193560,6,15974,60,100.000000,0,1,0,0,0,5.302111,77.197731
262144,4193560,6,15974,90,100.000000,0,1,0,0,0,7.733160,90.405663
262144,4193560,6,15974,120,100.000000,0,1,0,0,0,12.379546,81.988350
262144,4193560,6,15974,150,100.000000,0,1,0,0,0,12.404779,85.210114
262144,4193560,6,15974,180,100.000000,0,1,0,0,0,12.404779,66.859489
262144,4193560,6,15974,210,100.000000,0,1,0,0,0,12.404779,94.511490
262144,4193560,6,15974,240,100.000000,0,1,0,0,0,12.428500,88.897186
262144,4193560,6,15974,270,100.000000,0,1,0,0,0,13.898304,65.380508
262144,4193560,6,15974,0,100.000000,0,0,1,0,0,46.129906,79.945824
262144,4193560,6,15974,0,100.000000,0,0,0,1,0,0.000000,78.780190
262144,4193560,5,15974,0,100.000000,0,0,0,1,0,0.000000,83.553505
262144,4193560,4,15974,0,100.000000,0,0,0,1,0,0.000029,92.555267
262144,4193560,3,15974,0,100.000000,0,0,0,1,0,0.001897,89.252861
262144,4193560,2,15974,0,100.000000,0,0,0,1,0,0.140191,88.200287
262144,4193560,1,15974,0,100.000000,0,0,0,1,0,16.786411,57.866432
262144,4193560,0,15974,0,100.000000,0,0,0,1,0,57.414001,35.191391
262144,4193560,6,15974,0,0.900000,0,0,0,0,1,16.755829,48.278111
262144,4193560,6,15974,0,0.800000,0,0,0,0,1,16.755997,52.295681
262144,4193560,6,15974,0,0.700000,0,0,0,0,1,16.786316,66.581635
262144,4193560,6,15974,0,0.600000,0,0,0,0,1,16.786411,66.103645
262144,4193560,6,15974,0,0.500000,0,0,0,0,1,16.785196,77.687645
262144,4193560,6,15974,0,0.400000,0,0,0,0,1,16.785839,77.706848
262144,4193560,6,15974,0,0.300000,0,0,0,0,1,16.786156,75.001663
262144,4193560,6,15974,0,0.200000,0,0,0,0,1,16.756409,75.194466
