vertexNum,edgeNum,iterationNum,maxEdgeDegree,minProcessEdge,percentage,sOriginalDistance,sMinEdgetoProcess,sApprAttrValues,sReduceExecution,sPartialGraphProcess,executionTime,Error
16384,261823,0,2421,0,100.000000,1,0,0,0,0,0.000000,4.869600
16384,261823,0,2421,24,100.000000,0,1,0,0,0,5.284725,9.238432
16384,261823,0,2421,48,100.000000,0,1,0,0,0,7.200191,6.048864
16384,261823,0,2421,72,100.000000,0,1,0,0,0,14.625350,5.278560
16384,261823,0,2421,96,100.000000,0,1,0,0,0,14.741899,4.485024
16384,261823,0,2421,120,100.000000,0,1,0,0,0,14.755547,9.056096
16384,261823,0,2421,144,100.000000,0,1,0,0,0,15.899145,5.703360
16384,261823,0,2421,168,100.000000,0,1,0,0,0,28.157940,4.742560
16384,261823,0,2421,192,100.000000,0,1,0,0,0,32.991497,3.835488
16384,261823,0,2421,216,100.000000,0,1,0,0,0,33.006207,8.432992
16384,261823,0,2421,0,100.000000,0,0,1,0,0,36.319851,4.788032
16384,261823,0,2421,0,100.000000,0,0,0,1,0,67.116974,2.119072
32768,523862,0,3877,0,100.000000,1,0,0,0,0,0.000000,14.416640
32768,523862,0,3877,38,100.000000,0,1,0,0,0,6.977681,8.008192
32768,523862,0,3877,76,100.000000,0,1,0,0,0,9.607202,8.289952
32768,523862,0,3877,114,100.000000,0,1,0,0,0,17.345493,11.888736
32768,523862,0,3877,152,100.000000,0,1,0,0,0,17.378422,8.052992
32768,523862,0,3877,190,100.000000,0,1,0,0,0,17.350327,13.740288
32768,523862,0,3877,228,100.000000,0,1,0,0,0,20.520752,13.680960
32768,523862,0,3877,266,100.000000,0,1,0,0,0,34.892895,8.465056
32768,523862,0,3877,304,100.000000,0,1,0,0,0,36.107841,12.736096
32768,523862,0,3877,342,100.000000,0,1,0,0,0,36.145275,13.416640
32768,523862,0,3877,0,100.000000,0,0,1,0,0,38.983437,8.370080
32768,523862,0,3877,0,100.000000,0,0,0,1,0,64.662048,3.257632
65536,1048065,0,6260,0,100.000000,1,0,0,0,0,0.000000,22.217407
65536,1048065,0,6260,62,100.000000,0,1,0,0,0,8.711997,14.667040
65536,1048065,0,6260,124,100.000000,0,1,0,0,0,13.759145,23.137793
65536,1048065,0,6260,186,100.000000,0,1,0,0,0,19.807631,12.615520
65536,1048065,0,6260,248,100.000000,0,1,0,0,0,19.793753,14.617664
65536,1048065,0,6260,310,100.000000,0,1,0,0,0,19.799067,13.884160
65536,1048065,0,6260,372,100.000000,0,1,0,0,0,27.833084,17.826368
65536,1048065,0,6260,434,100.000000,0,1,0,0,0,38.156757,14.812960
65536,1048065,0,6260,496,100.000000,0,1,0,0,0,38.163048,20.846624
65536,1048065,0,6260,558,100.000000,0,1,0,0,0,38.164242,17.648191
65536,1048065,0,6260,0,100.000000,0,0,1,0,0,41.457016,22.831264
65536,1048065,0,6260,0,100.000000,0,0,0,1,0,62.114227,5.427360
131072,2096525,0,10035,0,100.000000,1,0,0,0,0,0.000000,33.650337
131072,2096525,0,10035,20,100.000000,0,1,0,0,0,2.706606,31.137217
131072,2096525,0,10035,40,100.000000,0,1,0,0,0,4.122446,50.134720
131072,2096525,0,10035,60,100.000000,0,1,0,0,0,6.613212,46.023712
131072,2096525,0,10035,80,100.000000,0,1,0,0,0,10.410498,46.485664
131072,2096525,0,10035,100,100.000000,0,1,0,0,0,10.497333,43.789345
131072,2096525,0,10035,120,100.000000,0,1,0,0,0,10.496747,41.192577
131072,2096525,0,10035,140,100.000000,0,1,0,0,0,10.500239,34.002495
131072,2096525,0,10035,160,100.000000,0,1,0,0,0,10.606611,37.642529
131072,2096525,0,10035,180,100.000000,0,1,0,0,0,12.995976,36.080383
131072,2096525,0,10035,0,100.000000,0,0,1,0,0,43.731171,31.941343
131072,2096525,0,10035,0,100.000000,0,0,0,1,0,59.865452,12.329760
262144,4193560,0,15974,0,100.000000,1,0,0,0,0,0.000000,66.991776
262144,4193560,0,15974,30,100.000000,0,1,0,0,0,3.555971,68.311165
262144,4193560,0,15974,60,100.000000,0,1,0,0,0,5.304169,77.141632
262144,4193560,0,15974,90,100.000000,0,1,0,0,0,7.732999,68.503296
262144,4193560,0,15974,120,100.000000,0,1,0,0,0,12.379495,68.865341
262144,4193560,0,15974,150,100.000000,0,1,0,0,0,12.404957,65.985085
262144,4193560,0,15974,180,100.000000,0,1,0,0,0,12.405498,72.736000
262144,4193560,0,15974,210,100.000000,0,1,0,0,0,12.405049,73.038269
262144,4193560,0,15974,240,100.000000,0,1,0,0,0,12.428972,70.929123
262144,4193560,0,15974,270,100.000000,0,1,0,0,0,13.899626,68.804932
262144,4193560,0,15974,0,100.000000,0,0,1,0,0,46.130592,67.925278
262144,4193560,0,15974,0,100.000000,0,0,0,1,0,57.414001,19.941601
524288,8387703,0,25189,0,100.000000,1,0,0,0,0,0.000000,133.339355
524288,8387703,0,25189,50,100.000000,0,1,0,0,0,5.521918,117.086464
524288,8387703,0,25189,100,100.000000,0,1,0,0,0,6.530914,121.715614
524288,8387703,0,25189,150,100.000000,0,1,0,0,0,12.196937,107.606270
524288,8387703,0,25189,200,100.000000,0,1,0,0,0,14.182764,112.736191
524288,8387703,0,25189,250,100.000000,0,1,0,0,0,14.183858,110.944992
524288,8387703,0,25189,300,100.000000,0,1,0,0,0,14.183506,136.149689
524288,8387703,0,25189,350,100.000000,0,1,0,0,0,14.182862,104.814720
524288,8387703,0,25189,400,100.000000,0,1,0,0,0,14.469708,118.486435
524288,8387703,0,25189,450,100.000000,0,1,0,0,0,22.498352,97.608063
524288,8387703,0,25189,0,100.000000,0,0,1,0,0,48.370846,130.094788
524288,8387703,0,25189,0,100.000000,0,0,0,1,0,55.161308,33.427135
1048576,16776040,0,39438,0,100.000000,1,0,0,0,0,0.000000,268.103516
1048576,16776040,0,39438,78,100.000000,0,1,0,0,0,7.171588,230.343552
1048576,16776040,0,39438,156,100.000000,0,1,0,0,0,7.809585,259.021698
1048576,16776040,0,39438,234,100.000000,0,1,0,0,0,15.217966,205.716705
1048576,16776040,0,39438,312,100.000000,0,1,0,0,0,16.111843,232.827682
1048576,16776040,0,39438,390,100.000000,0,1,0,0,0,16.111698,205.873627
1048576,16776040,0,39438,468,100.000000,0,1,0,0,0,16.111660,247.530823
1048576,16776040,0,39438,546,100.000000,0,1,0,0,0,16.111715,203.038910
1048576,16776040,0,39438,624,100.000000,0,1,0,0,0,16.493595,220.925766
1048576,16776040,0,39438,702,100.000000,0,1,0,0,0,26.905537,168.510208
1048576,16776040,0,39438,0,100.000000,0,0,1,0,0,50.496525,287.695740
1048576,16776040,0,39438,0,100.000000,0,0,0,1,0,52.927483,55.295807
2097152,33552975,0,62430,0,100.000000,1,0,0,0,0,0.000000,581.372681
2097152,33552975,0,62430,124,100.000000,0,1,0,0,0,9.017179,481.330597
2097152,33552975,0,62430,248,100.000000,0,1,0,0,0,9.184495,493.942169
2097152,33552975,0,62430,372,100.000000,0,1,0,0,0,17.670704,389.069244
2097152,33552975,0,62430,496,100.000000,0,1,0,0,0,17.744654,403.630341
2097152,33552975,0,62430,620,100.000000,0,1,0,0,0,17.744530,380.666473
2097152,33552975,0,62430,744,100.000000,0,1,0,0,0,17.744549,406.080231
2097152,33552975,0,62430,868,100.000000,0,1,0,0,0,17.744501,380.029175
2097152,33552975,0,62430,992,100.000000,0,1,0,0,0,19.909906,384.518799
2097152,33552975,0,62430,1116,100.000000,0,1,0,0,0,29.537899,279.664917
2097152,33552975,0,62430,0,100.000000,0,0,1,0,0,52.587933,542.461487
